constellation,star,date,RA_hms,Dec_dms,mag
Estrela Vagalume (Uam-rana),α CMa,01/01/2026,06:45:07.929,-16:43:29.82,4.8
Estrela Tinguaçu (Tinguaçu),41 Ari,03/01/2026,02:49:59.163,27:15:34.79,4.8
Pata da Ema (Nhandu pysá),α Cru,28/03/2026,12:26:35.757,-63:05:57.12,4.8
Pata da Ema (Nhandu pysá),α Cru,28/03/2026,12:26:35.757,−63:05:57.12,4.8
Pata da Ema (Nhandu pysá),β Cru,28/03/2026,12:47:43.120,−59:41:20.00,4.8
Pata da Ema (Nhandu pysá),γ Cru,28/03/2026,12:31:10.051,−57:06:54.52,4.8
Pata da Ema (Nhandu pysá),δ Cru,28/03/2026,12:15:08.596,−58:44:56.41,4.8
Ovos de Pássaro (Guirá rupiá),δ Mus,31/03/2026,13:02:17.725,−71:32:56.47,4.8
Ovos de Pássaro (Guirá rupiá),γ Mus,31/03/2026,12:32:27.721,−72:07:58.90,4.8
Colibri (Mainamy),γ Crv,31/03/2026,12:15:48.400,−17:32:30.0,4.8
Colibri (Mainamy),α Crv,31/03/2026,12:26:36.000,−24:44:00.0,4.8
Colibri (Mainamy),β Crv,31/03/2026,12:35:53.900,−23:23:47.0,4.8
Colibri (Mainamy),δ Crv,31/03/2026,12:29:51.900,−16:30:55.0,4.8
Colibri (Mainamy),ε Crv,31/03/2026,12:10:07.600,−22:37:11.0,4.8
Canoa (Yar Ragapaw),η UMa,05/04/2026,13:47:32.437,+49:18:47.76,4.8
Canoa (Yar Ragapaw),ζ UMa,05/04/2026,13:23:55.500,+54:55:31.00,4.8
Canoa (Yar Ragapaw),ε UMa,05/04/2026,12:54:01:749,+55:57:35.36,4.8
Canoa (Yar Ragapaw),δ UMa,05/04/2026,12:15:25.600,+57:01:57.00,4.8
Canoa (Yar Ragapaw),γ UMa,05/04/2026,11:53:49.800,+53:41:41.00,4.8
Jabuti (Zauxihu Ragapaw),α CrB,18/05/2026,15:34:41.268,+26:42:52.89,4.8
Jabuti (Zauxihu Ragapaw),β CrB,18/05/2026,15:27:49.7308,+29:06:20.530,4.8
Jabuti (Zauxihu Ragapaw),γ CrB,18/05/2026,15:42:44.56551,+26:17:44.2847,4.8
Jabuti (Zauxihu Ragapaw),δ CrB,18/05/2026,15:49:35.64700,+26:04:06.2143,4.8
Jabuti (Zauxihu Ragapaw),ε CrB,18/05/2026,15:57:35.25147,+26:52:40.3635,4.8
Jabuti (Zauxihu Ragapaw),ι CrB,18/05/2026,16:01:26.56492,+29:51:03.8194,4.8
Jabuti (Zauxihu Ragapaw),θ CrB,18/05/2026,15:32:55.78214,+31:21:32.8762,4.8
Ema (Guirá Nhandú),α Cen,28/05/2026,14:39:23.205,−60:49:49.87,4.8
Ema (Guirá Nhandú),β Cen,28/05/2026,14:06:03.445,-60:17:49.18,4.8
Ema (Guirá Nhandú),α Mus,28/05/2026,12:40:03.200,-69:06:39.64,4.8
Ema (Guirá Nhandú),β Cir,28/05/2026,15:19:29.375,-58:41:24.86,4.8
Ema (Guirá Nhandú),β TrA,28/05/2026,15:57:05.229,-63:18:27.57,4.8
Ema (Guirá Nhandú),ε¹ Ara,28/05/2026,17:01:08.340,-53:01:05.73,4.8
Ema (Guirá Nhandú),α Ara,28/05/2026,17:33:16.581,-49:43:51.30,4.8
Ema (Guirá Nhandú),θ Sco,28/05/2026,17:38:43.498,-42:51:06.11,4.8
Ema (Guirá Nhandú),γ Sco,28/05/2026,16:05:50.881,-22:29:34.85,4.8
Ema (Guirá Nhandú),α Sco,28/05/2026,16:30:52.322,-26:17:46.88,4.8
Ema (Guirá Nhandú),δ Sco,28/05/2026,16:01:48.453,-22:29:38.49,4.8
Ema (Guirá Nhandú),ζ Lup,28/05/2026,15:14:08.163,-51:59:23.52,4.8
Ema (Guirá Nhandú),γ Lup,28/05/2026,15:38:06.249,-41:03:50.69,4.8
Onça Celeste (Xivi / Charia),α Sco,30/05/2026,16:29:24.440,-26:25:55.81,4.8
Cobra de Fogo (Mboi Tatá),α Sco,04/06/2026,16:29:24.460,-26:25:55.20,4.8
Cobra de Fogo (Mboi Tatá),τ Sco,04/06/2026,16:35:52.960,-28:12:57.70,4.8
Cobra de Fogo (Mboi Tatá),ε Sco,04/06/2026,16:50:09.307,-34:17:36.50,4.8
Cobra de Fogo (Mboi Tatá),μ Sco,04/06/2026,16:51:52.207,-38:02:51.15,4.8
Cobra de Fogo (Mboi Tatá),ζ² Sco,04/06/2026,16:54:34.703,-42:21:46.78,4.8
